,track_id,track,track_popularity,data_added,top_year,album_name,album_release_year,genre,artists_name,track_duration,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
79,7BgUcOjSOlKJXASLgJ6bx1,Bag Lady,59.0,2020-08-07T08:16:37Z,2000.0,Bag Lady,2000-10-31,[],Erykah Badu,348893.0,0.724,0.416,-8.964,0.0841,0.365,0.0,0.0969,0.578,151.181
80,6dJ2mSRaKE9ctYw9qWNGWQ,There You Go,59.0,2020-08-07T08:16:37Z,2000.0,There You Go,2000-04-04,[],P!nk,202800.0,0.822,0.847,-6.729,0.0917,0.0854,0.0,0.0452,0.668,107.908
81,1rj0XawWJNisX7SGYexowJ,Gotta Tell You,59.0,2020-08-07T08:16:37Z,2000.0,Gotta Tell You,2000,[],Samantha Mumba,200160.0,0.739,0.75,-4.513,0.0278,0.205,0.0,0.157,0.758,109.983
82,6vgN6KGstss0GnBbKlMNK9,The Way You Love Me,59.0,2020-08-07T08:16:37Z,2000.0,The Way You Love Me,1999-11-09,[],Faith Hill,186066.0,0.627,0.716,-7.175,0.0352,0.127,0.0,0.0344,0.734,101.99
83,1jRzdY7oUBOhrylNtiMtBD,Shake Ya Ass (feat. Pharrell Williams),58.0,2020-08-07T08:16:37Z,2000.0,Shake Ya Ass (feat. Pharrell Williams),2000-09-26,[],"Mystikal,Pharrell Williams",256972.0,0.914,0.607,-5.658,0.32,0.0626,0.0,0.0515,0.666,98.054
84,0WHOPmOuQKuu05k4g3UTvk,Wonderful,58.0,2020-08-07T08:16:37Z,2000.0,Wonderful,2000-01-01,[],Everclear,280813.0,0.514,0.817,-6.489,0.05,0.0118,8.25e-06,0.346,0.734,186.765
85,3lqT89gv8p3PYwXtr3ODjv,I Wish,58.0,2020-08-07T08:16:37Z,2000.0,I Wish,2000-04-18,[],Carl Thomas,226760.0,0.736,0.666,-4.929,0.0337,0.0593,3.82e-05,0.107,0.224,89.824
86,2dwhMQsFeHr2S787WxqAqW,You Sang To Me,58.0,2020-08-07T08:16:37Z,2000.0,You Sang To Me,1999-09-28,[],Marc Anthony,347106.0,0.578,0.894,-5.42,0.0296,0.0103,2.66e-06,0.216,0.741,165.98
87,5S0cvScXb33JVpjTiY9Ivi,Separated,58.0,2020-08-07T08:16:37Z,2000.0,Separated,2000-05-09,[],Avant,255600.0,0.798,0.48,-5.564,0.0276,0.247,0.0,0.237,0.643,108.241
88,6fA7akEuTUL3dW1V0GELaZ,Bent,58.0,2020-08-07T08:16:37Z,2000.0,Bent,2000-05-23,[],Matchbox Twenty,256133.0,0.518,0.83,-6.814,0.0386,0.0404,3.85e-06,0.375,0.527,95.468
89,4fazGt0v2v2zkzddQOcDZD,Don't Call Me Baby,58.0,2020-08-07T08:16:37Z,2000.0,Don't Call Me Baby,1999-01-01,[],Madison Avenue,228140.0,0.808,0.982,-6.588,0.0311,0.0585,0.00689,0.35,0.961,124.999
90,3NEzjZbeSCy72Kx1clSYgC,Wifey,57.0,2020-08-07T08:16:37Z,2000.0,Wifey,2004-04-30,[],Next,243666.0,0.829,0.652,-8.693,0.108,0.067,0.0,0.0812,0.726,99.581
91,47xLbuUdmD03ATrke934S1,Freestyler,57.0,2020-08-07T08:16:37Z,2000.0,Freestyler,2000,[],Bomfunk MC's,306333.0,0.822,0.922,-5.798,0.0989,0.0291,0.325,0.252,0.568,163.826
92,1ak0S3NhwWrUgNlQhJ1412,Case Of The Ex (Whatcha Gonna Do),57.0,2020-08-07T08:16:37Z,2000.0,Case Of The Ex (Whatcha Gonna Do),2000-01-01,[],Mýa,236826.0,0.774,0.684,-4.721,0.0408,0.0687,9.34e-05,0.0765,0.354,98.001
93,60g4sp8i3gXSb1EkphMl1g,Crash and Burn,57.0,2020-08-07T08:16:37Z,2000.0,Crash and Burn,1999-11-09,[],Savage Garden,281466.0,0.581,0.607,-8.458,0.028,0.189,1.6e-06,0.0882,0.213,102.03
